sequence_id,NC_007984,NC_015722,NC_011138,NC_015859,NC_013943,NC_009767,NC_008709,NC_015656,NC_009511,NC_011126
0,107.9582,105.1026,102.3711,86.2838,103.5702,90.4930,102.2452,85.2442,86.1785,112.6513
1,106.6967,104.7392,99.2366,88.9509,96.4051,90.1386,100.0348,88.6617,92.4665,107.7730
2,107.6618,102.3480,99.0761,84.0177,98.8396,92.1643,100.9438,86.3809,86.1844,106.6749
3,112.7921,108.0595,99.6236,81.7403,107.3474,90.0106,102.5830,81.7176,82.0659,122.0251
4,107.9720,104.7608,101.2366,82.5461,105.1328,88.0892,99.9620,80.6596,82.4268,115.2263
5,116.2422,108.3714,101.5320,82.3837,103.8421,92.2058,102.6445,78.4700,81.8469,117.0592
6,110.9837,107.7994,97.5341,81.8883,109.2008,88.9608,100.1317,81.8719,82.5668,122.4794
7,107.5611,105.7018,98.7546,87.7791,104.2764,90.1840,100.1694,84.1915,83.8068,118.7151
8,108.7725,109.4163,99.1858,79.8030,105.0219,87.4200,101.7786,78.9326,79.9600,114.5747
9,109.4914,105.4812,98.6011,86.3970,100.4468,88.0587,98.9489,87.0576,86.4541,121.0720
10,105.9014,104.8411,98.4709,88.7097,101.2750,91.0534,98.8926,87.7948,88.9387,110.7553
11,108.9210,103.6578,97.1783,85.1631,100.5438,92.1272,98.5526,82.8849,84.4992,109.8830
12,111.2955,106.7765,98.5526,80.9081,101.5816,88.4421,98.5172,77.2660,79.1576,118.3816
13,101.9821,100.6983,96.4836,90.2039,95.8136,91.6152,97.0861,88.9266,91.1159,109.1835
14,107.8834,105.8654,102.8917,89.1387,103.5569,98.1673,101.5990,88.3382,90.8239,113.3487
15,105.3680,104.5712,99.2519,83.1967,100.8038,91.3949,100.6109,84.5359,86.1287,110.2020
16,109.5804,106.6908,98.0189,82.5368,103.1090,89.6330,100.6418,81.6212,85.4234,113.5477
17,110.5065,106.0536,99.9372,82.5969,108.8589,92.8908,102.8228,82.5505,83.8356,117.5479
18,105.2636,105.5766,98.0239,82.8295,98.3965,86.7512,99.5556,82.0935,84.8935,116.4973
19,109.4017,105.2804,100.5623,86.5340,99.1355,91.2396,99.8885,85.0451,88.9549,115.1591
20,110.3655,108.6188,97.7216,82.9283,103.9328,89.7477,100.1982,81.1888,83.5664,115.0775
21,108.3347,101.8710,98.9881,84.5345,99.5393,89.7412,99.9169,85.6354,87.3418,109.9902
22,112.9983,105.3778,98.2659,86.3481,106.6440,95.1727,99.9777,83.6365,86.0503,112.7647
23,109.3950,106.7410,99.5383,90.6317,103.9423,95.4993,101.5227,91.4571,96.8072,114.9644
24,110.7665,102.7205,98.2914,88.4868,97.5538,89.4980,98.6436,87.6931,89.0404,112.9611
25,109.0316,105.7961,96.9070,84.7622,98.6787,86.7343,96.8078,85.3948,87.8357,117.1584
26,108.8240,104.8255,97.5346,83.8001,100.1332,89.4706,97.3094,81.1415,83.4903,113.6479
27,109.6882,108.3225,100.7635,85.2292,102.6933,92.1107,99.8693,81.6498,85.4991,115.0473
28,112.2000,106.7097,101.9204,83.9486,103.0365,93.2532,102.9598,83.9161,86.1937,118.1893
29,107.5472,105.0615,95.9922,84.2420,106.0539,91.3009,99.5394,82.7811,85.9351,109.2825
30,103.0369,102.6071,96.3649,96.6698,102.1155,95.1817,99.2016,96.7511,100.2159,111.4089
31,106.7089,103.2000,97.5266,88.5431,99.6212,90.1704,97.8684,88.8500,90.8034,108.2649
32,111.0520,109.6155,102.9904,82.3371,110.2902,94.3100,104.3158,81.9911,88.4052,121.5443
33,111.0005,107.6720,102.2821,77.3187,102.3516,86.2879,102.4154,76.6718,77.8550,120.7243
34,106.7569,107.2807,102.2923,80.7651,106.7743,86.7740,103.1681,81.0346,80.7630,119.6505
35,113.3345,107.1080,100.7339,84.3693,104.2645,94.5735,101.7513,82.6824,84.8566,112.2462
36,106.9834,104.6490,97.9795,94.9557,100.8906,96.0409,100.2924,93.1195,94.7981,111.1744
37,108.0441,105.7425,98.6455,89.2192,101.6682,94.8195,100.5207,89.2419,90.6856,111.2399
38,111.4867,105.3328,100.2306,84.1684,100.0730,91.8109,101.2743,82.5324,87.0076,115.5877
39,107.3524,103.7997,98.7808,84.8491,102.9675,90.9803,99.6008,85.0941,88.2022,113.4132
40,103.9480,103.6277,103.6472,89.1158,104.3420,94.0645,103.7658,87.9508,87.4621,109.3112
41,109.2923,104.8231,101.9017,85.3287,102.9138,101.3640,102.1357,83.9939,84.7656,108.6914
42,107.3464,107.6854,102.2784,88.1870,105.1713,89.7127,101.9366,85.6066,84.0802,119.0283
43,103.4668,105.4241,99.4444,85.0203,101.5656,91.5750,100.1272,83.5480,88.0399,115.1582
44,106.1627,102.3119,94.6232,89.1581,98.6757,89.5389,97.2935,85.9313,84.8893,114.3618
45,114.2549,107.4399,103.9804,86.7307,100.3341,89.0976,102.4798,86.2580,89.6326,112.1054
46,108.1260,102.5179,100.0674,96.7043,101.6922,98.4937,100.6366,95.8968,95.0211,105.2287
47,100.0173,98.9916,92.8594,87.9410,94.9020,87.4008,94.5398,89.3456,88.2179,100.8709
48,106.4235,105.1514,96.5341,90.3752,100.3422,85.5607,97.0612,87.7851,86.2138,118.4592
49,107.9109,104.1819,101.1309,80.9333,99.6195,89.9676,98.7706,81.0366,85.7903,107.2818
50,110.4590,106.7151,101.6526,87.7932,105.8542,96.4501,102.6237,85.1076,89.5784,116.6767
51,106.6955,101.7307,95.7114,84.1981,106.1360,89.3771,99.8731,84.5745,81.7561,109.8162
52,114.4221,107.7049,102.8828,84.6629,107.4274,95.9790,104.7443,84.3324,85.5227,121.5081
53,113.2669,106.3945,98.6185,81.7433,98.1597,89.4417,99.5064,80.3140,81.9109,109.7462
54,108.8441,104.7255,99.9711,92.6467,102.5640,96.9210,101.0421,93.4210,101.9083,110.6536
55,107.1895,104.5197,98.5391,85.0919,104.1287,87.4058,99.7845,82.8662,83.9148,114.3247
56,99.3868,100.9171,93.7764,109.3876,102.0799,102.9106,97.1696,105.3976,107.4294,107.6027
57,106.7083,106.1143,98.1524,86.5858,103.5160,95.3264,101.3173,85.3734,90.0702,113.0789
58,109.8979,107.6942,98.7992,81.6101,100.5351,85.2984,100.5071,81.0531,82.2969,114.3393
59,105.8759,104.4059,97.6625,86.0491,99.6044,85.0004,100.1687,87.0722,85.4919,110.1097
60,104.1549,101.5188,94.7044,90.2155,97.6382,90.9878,97.4984,90.0405,93.2160,104.1364
61,106.8308,105.3829,99.4391,85.0868,101.3341,87.9850,101.0506,84.6654,83.7093,114.2630
62,104.1744,102.6254,97.2483,86.9821,99.9449,91.6858,100.1693,87.6554,91.8881,109.4623
63,110.8207,108.3921,96.6404,83.6500,104.1256,87.3115,100.2444,81.9060,84.0797,113.8783
64,101.4907,101.0320,99.6837,92.4798,98.0278,95.1148,100.0049,93.2486,93.4317,101.6440
65,98.4669,98.5082,96.0943,95.8255,97.1026,94.1137,95.5820,96.8355,98.9220,107.0773
66,108.6705,104.7749,100.3947,86.0489,99.9465,92.1852,100.5496,86.7378,87.2580,105.9170
67,103.0490,105.4580,95.8149,87.1229,99.0376,88.5734,99.6793,86.6341,89.5900,109.5138
68,109.0112,105.0539,98.8815,86.6782,109.8493,93.9822,101.4776,83.9622,85.7627,114.4461
69,106.9948,104.1401,94.5580,88.4600,102.1702,90.1738,99.7728,86.8237,87.7496,107.8860
70,103.1916,102.8370,102.2458,89.8374,100.3529,92.0635,101.7898,90.2923,95.3073,106.3494
71,115.5674,107.6215,99.0063,85.7352,103.0067,85.5737,101.8807,82.6694,81.9325,120.6542
72,108.7834,105.6372,96.4770,83.1976,106.6011,88.1032,99.7145,80.0909,79.0364,120.4300
73,108.0812,104.8765,97.7301,81.1687,102.5037,88.9335,99.6344,80.2884,81.9711,113.2222
74,107.4868,105.5301,99.3231,86.6062,98.6818,94.5306,100.9292,87.0171,93.3583,107.8545
75,112.4630,108.4232,97.8643,80.6202,107.8344,92.8835,100.3432,80.0940,87.5589,119.7362
76,106.0439,103.2360,95.3635,82.5484,102.6826,86.6545,98.3764,82.6058,80.4838,106.7007
77,109.4420,104.1357,97.6255,86.4632,103.6019,91.8250,97.8005,84.6993,89.8958,111.4766
78,111.7396,108.1221,101.0647,83.8664,107.2549,89.5145,101.1649,84.0967,87.8969,117.8366
79,107.6610,106.2533,100.7632,88.0440,102.3176,94.2442,100.4712,86.4922,88.4152,114.4512
80,105.6261,101.0196,97.4125,87.0159,94.2979,86.8384,96.8615,86.4021,88.2847,110.1620
81,106.8437,106.2968,99.3039,90.5424,102.2707,93.2462,99.5096,87.7824,95.1768,115.2459
82,112.1080,106.6195,98.2938,82.6504,101.3603,82.9943,99.4690,80.4112,83.8308,116.2195
83,99.1455,99.5122,94.6098,100.1639,98.7196,96.4168,94.9235,100.8285,100.9019,105.4090
84,110.6212,105.4447,99.5771,88.6911,100.4329,90.2663,101.1519,87.2987,87.9380,111.9399
85,110.1663,105.8056,97.3949,84.4122,105.8025,90.7431,101.3463,81.5107,80.4640,117.2371
86,106.9935,102.3622,98.0239,92.1149,99.9777,91.5986,98.2008,88.1066,90.0715,110.9526
87,113.0318,107.1909,100.8764,84.0330,109.7312,96.2480,102.7628,81.6451,86.0851,120.9551
88,110.0268,105.6453,98.7739,83.2520,100.1335,88.0829,100.1032,80.8149,83.7919,110.1056
89,107.3209,104.2711,97.5046,82.6754,103.7363,91.9443,97.2735,80.9541,83.5333,108.9567
90,103.7853,104.1676,97.4886,85.7931,99.6231,89.0469,98.3925,86.2432,89.2691,110.8849
91,104.5038,98.4938,94.3578,105.0778,98.6654,95.9415,96.1256,101.7232,105.1684,101.6127
92,104.5678,103.3319,95.3597,85.5148,99.3100,90.2029,98.2590,84.7002,87.0890,109.5051
93,105.8599,104.1747,99.2298,81.6751,99.0124,90.5350,99.5885,82.4924,82.6141,107.9010
