sequence_id,predicted_genome,decision_type,k3_prediction,k5_prediction,k7_prediction,vote_counts
0,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
1,NC_015656,unanimous,8,8,8,"{8: 3}"
2,NC_015859,unanimous,1,1,1,"{1: 3}"
3,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
4,NC_015656,unanimous,8,8,8,"{8: 3}"
5,NC_015656,unanimous,8,8,8,"{8: 3}"
6,NC_015656,majority,8,8,1,"{8: 2; 1: 1}"
7,NC_015656,majority,8,7,8,"{8: 2; 7: 1}"
8,NC_015656,unanimous,8,8,8,"{8: 3}"
9,NC_009511,tie_breaker,3,1,7,"{3: 1; 1: 1; 7: 1}"
10,NC_015656,unanimous,8,8,8,"{8: 3}"
11,NC_015656,majority,8,8,7,"{8: 2; 7: 1}"
12,NC_015656,unanimous,8,8,8,"{8: 3}"
13,NC_015656,unanimous,8,8,8,"{8: 3}"
14,NC_015656,unanimous,8,8,8,"{8: 3}"
15,NC_015859,unanimous,1,1,1,"{1: 3}"
16,NC_015656,unanimous,8,8,8,"{8: 3}"
17,NC_015859,tie_breaker,7,8,1,"{7: 1; 8: 1; 1: 1}"
18,NC_015656,unanimous,8,8,8,"{8: 3}"
19,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
20,NC_015656,unanimous,8,8,8,"{8: 3}"
21,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
22,NC_015656,unanimous,8,8,8,"{8: 3}"
23,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
24,NC_015656,unanimous,8,8,8,"{8: 3}"
25,NC_015859,majority,8,1,1,"{8: 1; 1: 2}"
26,NC_015656,unanimous,8,8,8,"{8: 3}"
27,NC_015656,unanimous,8,8,8,"{8: 3}"
28,NC_015859,majority,1,8,1,"{1: 2; 8: 1}"
29,NC_015656,unanimous,8,8,8,"{8: 3}"
30,NC_009767,unanimous,3,3,3,"{3: 3}"
31,NC_015656,majority,8,1,8,"{8: 2; 1: 1}"
32,NC_015656,unanimous,8,8,8,"{8: 3}"
33,NC_009511,tie_breaker,1,8,7,"{1: 1; 8: 1; 7: 1}"
34,NC_009511,majority,7,7,1,"{7: 2; 1: 1}"
35,NC_015656,unanimous,8,8,8,"{8: 3}"
36,NC_015656,unanimous,8,8,8,"{8: 3}"
37,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
38,NC_015656,unanimous,8,8,8,"{8: 3}"
39,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
40,NC_015656,majority,8,7,8,"{8: 2; 7: 1}"
41,NC_015656,unanimous,8,8,8,"{8: 3}"
42,NC_009511,unanimous,7,7,7,"{7: 3}"
43,NC_015656,unanimous,8,8,8,"{8: 3}"
44,NC_009511,unanimous,7,7,7,"{7: 3}"
45,NC_015859,majority,1,8,1,"{1: 2; 8: 1}"
46,NC_009511,unanimous,7,7,7,"{7: 3}"
47,NC_015859,tie_breaker,7,3,1,"{7: 1; 3: 1; 1: 1}"
48,NC_009767,majority,3,3,7,"{3: 2; 7: 1}"
49,NC_015859,majority,8,1,1,"{8: 1; 1: 2}"
50,NC_015656,unanimous,8,8,8,"{8: 3}"
51,NC_009511,unanimous,7,7,7,"{7: 3}"
52,NC_015859,majority,1,8,1,"{1: 2; 8: 1}"
53,NC_015656,unanimous,8,8,8,"{8: 3}"
54,NC_015859,unanimous,1,1,1,"{1: 3}"
55,NC_015656,unanimous,8,8,8,"{8: 3}"
56,NC_011138,unanimous,6,6,6,"{6: 3}"
57,NC_015656,unanimous,8,8,8,"{8: 3}"
58,NC_015656,majority,8,8,7,"{8: 2; 7: 1}"
59,NC_009767,majority,7,3,3,"{7: 1; 3: 2}"
60,NC_015656,unanimous,8,8,8,"{8: 3}"
61,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
62,NC_015656,majority,8,1,8,"{8: 2; 1: 1}"
63,NC_015656,unanimous,8,8,8,"{8: 3}"
64,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
65,NC_009767,majority,3,3,8,"{3: 2; 8: 1}"
66,NC_015859,unanimous,1,1,1,"{1: 3}"
67,NC_015656,majority,8,8,3,"{8: 2; 3: 1}"
68,NC_015656,majority,8,8,7,"{8: 2; 7: 1}"
69,NC_015656,unanimous,8,8,8,"{8: 3}"
70,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
71,NC_009511,unanimous,7,7,7,"{7: 3}"
72,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
73,NC_015656,unanimous,8,8,8,"{8: 3}"
74,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
75,NC_015656,unanimous,8,8,8,"{8: 3}"
76,NC_009511,unanimous,7,7,7,"{7: 3}"
77,NC_015656,unanimous,8,8,8,"{8: 3}"
78,NC_015859,majority,8,1,1,"{8: 1; 1: 2}"
79,NC_015656,unanimous,8,8,8,"{8: 3}"
80,NC_009767,majority,3,8,3,"{3: 2; 8: 1}"
81,NC_015656,unanimous,8,8,8,"{8: 3}"
82,NC_015656,unanimous,8,8,8,"{8: 3}"
83,NC_011138,majority,6,6,9,"{6: 2; 9: 1}"
84,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
85,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
86,NC_015656,unanimous,8,8,8,"{8: 3}"
87,NC_015656,unanimous,8,8,8,"{8: 3}"
88,NC_015656,unanimous,8,8,8,"{8: 3}"
89,NC_015656,unanimous,8,8,8,"{8: 3}"
90,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
91,NC_011138,unanimous,6,6,6,"{6: 3}"
92,NC_015656,unanimous,8,8,8,"{8: 3}"
93,NC_015859,unanimous,1,1,1,"{1: 3}"
94,NC_009511,majority,8,7,7,"{8: 1; 7: 2}"
95,NC_015656,unanimous,8,8,8,"{8: 3}"
96,NC_009511,unanimous,7,7,7,"{7: 3}"
97,NC_015656,unanimous,8,8,8,"{8: 3}"
98,NC_015656,unanimous,8,8,8,"{8: 3}"
99,NC_015656,unanimous,8,8,8,"{8: 3}"
100,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
101,NC_015859,unanimous,1,1,1,"{1: 3}"
102,NC_015656,unanimous,8,8,8,"{8: 3}"
103,NC_009511,unanimous,7,7,7,"{7: 3}"
104,NC_015859,majority,8,1,1,"{8: 1; 1: 2}"
105,NC_015859,unanimous,1,1,1,"{1: 3}"
106,NC_015656,unanimous,8,8,8,"{8: 3}"
107,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
108,NC_015656,unanimous,8,8,8,"{8: 3}"
109,NC_015656,unanimous,8,8,8,"{8: 3}"
110,NC_015656,unanimous,8,8,8,"{8: 3}"
111,NC_009511,unanimous,7,7,7,"{7: 3}"
112,NC_015859,majority,1,1,8,"{1: 2; 8: 1}"
113,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
114,NC_015859,majority,8,1,1,"{8: 1; 1: 2}"
115,NC_015656,unanimous,8,8,8,"{8: 3}"
116,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
117,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
118,NC_015656,unanimous,8,8,8,"{8: 3}"
119,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
120,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
121,NC_015859,majority,1,8,1,"{1: 2; 8: 1}"
122,NC_015656,unanimous,8,8,8,"{8: 3}"
123,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
124,NC_015656,unanimous,8,8,8,"{8: 3}"
125,NC_015656,unanimous,8,8,8,"{8: 3}"
126,NC_009511,unanimous,7,7,7,"{7: 3}"
127,NC_015656,unanimous,8,8,8,"{8: 3}"
128,NC_015656,majority,1,8,8,"{1: 1; 8: 2}"
129,NC_015656,unanimous,8,8,8,"{8: 3}"
130,NC_015656,majority,8,3,8,"{8: 2; 3: 1}"
131,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
132,NC_015656,majority,8,8,1,"{8: 2; 1: 1}"
133,NC_015656,majority,3,8,8,"{3: 1; 8: 2}"
134,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
135,NC_015656,majority,8,8,1,"{8: 2; 1: 1}"
136,NC_015656,majority,7,8,8,"{7: 1; 8: 2}"
137,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
138,NC_015656,unanimous,8,8,8,"{8: 3}"
139,NC_015656,unanimous,8,8,8,"{8: 3}"
140,NC_015656,majority,8,8,7,"{8: 2; 7: 1}"
141,NC_009511,majority,7,7,8,"{7: 2; 8: 1}"
142,NC_009511,majority,7,7,3,"{7: 2; 3: 1}"
