sequence_id,NC_007984,NC_015722,NC_011138,NC_015859,NC_013943,NC_009767,NC_008709,NC_015656,NC_009511,NC_011126
0,283.0916,189.9175,99.7596,79.8751,142.5756,86.7731,109.1775,79.0150,85.5519,232.7987
1,211.1283,159.8170,97.7087,89.4597,92.4670,86.8616,92.8697,84.0021,95.3310,187.1215
2,224.3514,166.7724,95.1750,79.2655,96.6317,90.3470,101.9683,80.6000,79.4470,186.1738
3,316.9815,176.1562,98.3363,79.4002,146.5575,93.8283,117.9184,76.5502,76.3850,274.1135
4,286.4990,203.0387,108.9765,78.7816,116.1212,84.3108,99.0764,76.2084,81.5705,269.9137
5,385.3327,238.7055,102.6675,81.2233,121.6757,93.7849,101.7393,75.4548,81.1080,250.4341
6,300.8963,161.5610,98.0105,76.1795,136.1745,81.7550,102.6734,76.2050,77.0087,276.8146
7,329.5008,160.4138,96.5492,88.6066,137.0349,88.5641,98.9768,80.2732,88.7833,274.1040
8,281.9681,208.1449,97.2071,75.8581,150.3271,84.4960,97.3292,73.8305,76.9796,265.5694
9,245.9705,174.4389,93.0899,81.3180,115.0078,86.1595,97.8765,81.8901,80.8269,295.5095
10,240.1944,193.5477,95.8701,82.2410,121.0119,85.7007,95.5640,79.5941,82.2718,238.4190
11,275.9416,149.8956,95.0950,82.6450,135.7738,90.3542,100.0443,78.5160,81.3973,259.6308
12,281.6756,214.0994,95.4745,75.6823,116.5972,86.0006,96.1331,70.8889,74.2698,236.4710
13,229.9938,154.3743,94.9209,83.9634,90.5356,86.8573,97.7769,84.1429,86.5299,150.8495
14,306.5117,168.0482,110.2348,102.7948,113.5281,103.0489,99.7999,83.6780,98.1714,200.7389
15,237.8040,196.0912,96.1218,78.9020,113.8851,88.5397,105.2645,80.3860,81.1046,255.8734
16,337.2708,208.1968,98.3756,81.1242,117.1354,83.6763,103.5815,78.2176,82.0984,258.3335
17,280.4830,180.3486,102.0945,76.5549,139.0319,87.6214,102.6285,76.4190,77.6953,242.3823
18,214.4398,175.7303,93.7486,78.1576,93.5700,80.2437,95.8725,75.6882,78.2322,277.7947
19,257.3050,214.1858,101.1750,84.0347,120.8319,89.1834,97.1176,79.9992,89.7848,234.0436
20,308.1858,192.0932,94.3185,83.1981,121.5581,87.7180,100.5249,78.3785,83.2384,245.7689
21,272.9970,168.2203,96.4511,78.5702,113.2309,85.7535,99.4551,79.3096,83.1459,207.6043
22,315.2077,191.3726,95.0445,82.8109,121.9057,91.7967,97.4900,78.0559,84.2675,239.0315
23,257.4506,175.7165,99.1400,85.2468,106.2374,95.8580,98.1207,67.2200,94.8487,247.5994
24,309.1088,160.9364,97.1525,81.6468,90.7125,85.7764,98.6221,75.7412,83.7222,204.8025
25,316.0807,194.3849,93.4790,80.4573,119.9297,83.6956,95.7310,80.9058,81.6912,284.3951
26,284.8077,160.9013,98.2122,79.7506,116.5171,86.6434,95.7602,76.2404,79.1477,232.1208
27,264.5054,222.6269,100.8075,85.0624,137.6933,87.9187,99.2969,77.2542,82.7022,244.0327
28,255.0458,205.9066,104.7932,79.2674,122.4467,88.9299,106.5089,79.9656,83.0693,256.8453
29,173.0872,168.3491,93.3487,80.2157,152.8309,91.1061,98.9507,76.9435,85.3381,204.1011
30,208.5576,189.9891,93.2742,116.9157,103.2981,86.0631,94.8421,88.8506,106.3819,213.9958
31,258.5048,175.0802,98.7344,90.9612,106.4901,94.9353,97.8756,85.5574,93.9003,200.9650
32,332.6500,197.0470,103.9730,79.5415,156.0952,94.7520,100.4193,79.7921,104.8220,307.0314
33,277.2792,210.8080,98.1707,72.7307,111.3378,84.7304,107.2278,71.3829,72.4214,337.5341
34,242.3932,213.9088,101.9088,76.6552,127.6983,84.4339,115.0382,76.8918,77.7714,267.4792
35,344.0633,205.7678,102.2460,80.8162,144.0868,96.4756,102.9269,78.5872,83.9390,284.1522
36,204.4957,189.9635,95.6613,93.3671,120.6334,103.3749,99.7364,77.9297,93.9969,241.0173
37,246.4319,186.5324,97.5854,103.3021,110.1418,96.1035,102.9546,87.4687,96.3428,196.6227
38,304.1663,169.7001,103.4985,81.5555,115.6616,91.0740,107.8539,78.8299,83.7561,252.8180
39,282.0151,186.4593,95.4689,83.5662,103.9693,89.5697,100.6402,82.5949,89.3044,198.1695
40,222.8102,191.9065,118.5276,89.0405,117.5890,92.5771,108.0010,83.3340,84.7581,250.4771
41,291.7549,187.0505,104.1283,80.6030,140.5486,111.2849,98.0514,78.6434,83.1431,190.7100
42,267.3435,210.9195,98.3393,83.5666,124.5701,91.7314,108.3151,80.7727,80.9560,287.2176
43,225.2092,172.8328,106.0395,82.6419,122.1719,89.5707,100.7684,80.3484,86.1601,227.8478
44,228.2173,146.6757,93.4315,86.0628,98.9848,87.1094,97.9875,81.2005,78.9839,279.5007
45,318.4118,232.6064,110.9443,83.1938,105.5149,84.9224,100.2745,82.2549,84.0355,216.3442
46,221.2953,142.2225,104.8344,111.2503,104.3558,99.9197,102.1919,91.3102,102.2140,180.1102
47,187.2890,162.8551,90.0753,84.7501,103.2053,82.3521,93.4157,82.1054,96.4520,156.7885
48,232.1809,196.3559,94.3743,102.0451,111.5072,80.9789,96.4216,81.9510,83.8167,254.1270
49,283.0780,155.2474,105.9503,77.5619,99.0426,88.0493,99.4572,78.1132,83.8916,214.5388
50,292.3716,204.1583,107.2777,85.5104,162.0300,93.0849,110.9208,82.9177,91.2882,257.6555
51,262.6338,157.8551,92.8882,81.2219,123.3912,88.5095,107.7585,79.7472,77.0602,226.2960
52,324.0166,216.7392,112.8110,78.8965,137.6770,96.6378,109.2944,79.2684,85.0295,285.6528
53,318.9615,206.5361,103.2021,77.3303,112.2549,89.0165,100.0127,75.1244,77.3629,209.3213
54,233.3718,155.9761,95.5974,87.0787,114.6893,97.2804,99.2437,86.6789,107.2769,220.8292
55,258.8289,221.3917,105.7123,84.1113,117.0709,100.2253,107.8478,82.1194,85.9808,289.1106
56,144.9177,156.1181,89.5724,147.1954,131.0164,117.8100,95.7466,93.6629,146.9204,204.0035
57,248.7113,222.4644,101.3532,85.1431,130.6104,101.4406,101.2791,80.8861,97.0273,224.7141
58,299.5160,217.7557,100.1716,79.3149,128.3004,85.8207,98.7966,78.9417,79.8041,293.9115
59,219.6376,178.3583,93.3323,83.2529,96.9905,83.0608,101.8325,83.8771,82.9741,245.3702
60,190.9497,160.4882,91.0506,85.0064,97.9510,89.4185,94.1490,82.5108,88.9082,162.5564
61,267.3802,220.8243,102.6871,80.9021,101.3705,89.9667,101.8676,79.7370,80.5368,254.9355
62,215.8784,161.0704,93.9923,88.1094,102.5622,90.5806,104.6719,83.0290,113.1167,215.8815
63,277.8032,252.9485,93.2784,85.4368,112.5111,83.3723,98.6751,66.6388,85.7156,247.2572
64,242.0313,166.8671,105.6230,117.6233,101.4775,103.9700,97.8515,86.2177,100.4729,135.6982
65,170.1037,131.2314,92.0020,113.1941,92.8010,92.2910,92.9116,74.7907,103.1918,216.6802
66,278.9008,174.5635,99.6922,83.8215,107.8493,92.3771,96.3025,83.5348,85.2464,179.3631
67,213.5477,208.5020,93.7603,84.0714,107.5737,82.0227,97.5841,82.0145,84.9764,225.8911
68,265.1430,158.6563,94.3310,88.3781,140.5223,89.8228,96.5719,79.2343,81.9666,233.2168
69,247.3627,188.4476,92.8771,84.8929,119.1770,89.9561,101.3092,84.2223,85.1645,202.7592
70,210.9821,151.2649,103.4310,92.2305,97.7099,87.4479,103.6570,85.8692,99.6909,165.0684
71,371.3082,225.7108,98.2102,86.7325,117.3093,86.5249,104.0929,80.8535,82.8550,305.4182
72,301.8879,188.6121,92.7526,80.4062,132.4494,88.4897,97.1087,74.1601,75.2247,294.4393
73,284.2113,212.0252,97.9956,82.4562,122.8756,87.9165,94.2673,77.2397,81.0325,242.7773
74,245.2719,158.7700,103.6626,84.6178,112.9546,90.5673,104.1981,83.3210,96.3777,202.5141
75,267.2646,223.0363,96.6074,78.3816,154.6010,90.4730,102.2547,75.6389,88.8313,295.1986
