sequence_id,NC_007984,NC_015722,NC_011138,NC_015859,NC_013943,NC_009767,NC_008709,NC_015656,NC_009511,NC_011126
0,591.7918,471.6668,217.4776,77.9208,418.0791,98.7046,251.8566,74.6252,98.9416,548.5841
1,459.2465,498.7765,162.1630,140.9308,169.1762,88.4987,135.5150,74.4941,173.8749,424.7646
2,515.9506,519.9159,174.6953,92.5547,184.2702,123.7810,164.6671,72.7170,73.3875,458.3641
3,591.0986,523.8712,183.0099,86.4615,408.1937,116.4509,282.6111,72.1491,73.2694,562.0794
4,590.6931,564.2767,233.1099,78.9754,311.9467,92.7820,169.0111,70.8845,78.5246,528.1242
5,630.0000,532.8904,219.2933,80.1779,277.8935,112.6307,214.2152,70.7096,80.0474,543.7013
6,562.7081,504.2767,208.2991,72.1791,302.7542,102.7704,195.2795,72.2161,76.1451,529.0848
7,601.9459,434.0264,155.0715,114.2601,321.5945,96.7256,196.5380,76.8136,121.2830,549.8061
8,561.7918,523.6243,181.3494,72.5623,318.3408,80.8012,190.1227,69.9441,75.3430,502.6709
9,550.6931,516.4739,164.6645,74.1802,285.6177,91.2750,214.3789,77.8354,85.3490,562.7726
10,535.6348,510.7790,158.1640,96.0954,282.1783,94.1628,173.7858,72.7549,100.1093,551.2696
11,566.5793,525.6630,156.4825,99.6292,291.8461,118.2601,214.4749,73.3881,104.9935,565.1930
12,583.8712,544.2767,201.2409,71.6328,227.7562,89.5749,201.2344,67.1719,70.2638,511.8086
13,511.0873,412.4927,144.4802,104.3187,137.2350,98.2695,161.8839,72.9431,99.3212,404.5048
14,593.6889,419.6406,240.6786,169.7143,294.0398,171.8467,212.5756,70.5305,129.9241,540.4347
15,562.5903,536.7616,168.9960,78.0438,242.8966,97.0813,201.6078,76.0501,92.9483,575.7807
16,600.0000,552.8904,170.7729,77.2668,252.5906,95.3134,198.4036,77.2818,78.9733,582.9957
17,533.8712,455.2177,197.6547,80.6101,299.8447,120.7831,258.7870,75.2816,83.1432,492.5689
18,495.7807,506.4615,147.2723,75.6953,179.5116,79.3320,178.7076,71.7849,84.5297,581.3863
19,551.0986,496.3279,198.0098,99.0518,294.8392,107.6131,170.3236,75.8145,111.2546,517.9010
20,610.0000,488.9464,151.7393,112.5262,292.5644,90.8321,175.0941,77.8958,114.0155,576.5793
21,524.5643,481.6807,173.2767,84.4283,281.5108,111.8848,186.1222,74.8867,101.7820,484.8520
22,611.7918,490.6046,150.9540,109.6415,311.7595,104.6027,154.5799,74.4130,90.9915,495.1194
23,592.4849,497.2127,190.0661,127.5915,312.1160,133.8120,237.2121,30.3443,146.0640,508.1605
24,590.0000,480.7914,146.3214,79.1778,143.1528,90.5464,232.8335,48.2655,85.8172,542.7726
25,621.3863,495.7807,126.1338,102.0877,252.7698,82.6350,181.0337,75.3661,114.1067,538.7720
26,549.1129,471.1075,167.4616,83.5206,203.9197,99.2188,148.6943,67.7214,83.8576,508.5172
27,498.7641,509.5750,189.0364,99.9852,321.9135,93.5139,207.4726,68.4185,84.3799,519.0797
28,534.2767,498.4355,204.1087,87.2936,272.0610,94.1471,267.7395,77.2263,104.6952,552.1972
29,467.7424,497.3369,148.6477,78.6390,340.5942,110.8213,203.9948,69.8961,108.5078,475.8257
30,453.8825,441.1202,109.5349,233.2394,223.4999,92.0644,163.5671,78.7796,193.6645,475.8508
31,565.4931,535.2575,171.9208,133.8788,249.0288,118.5584,138.9344,79.0118,152.7534,498.7483
32,591.7918,536.0403,211.7357,76.1856,341.5610,175.0456,216.0721,72.7858,164.9027,585.0876
33,551.0986,535.2575,217.7938,69.7185,351.4459,84.4079,238.8924,67.3946,69.4731,621.6094
34,554.5643,544.6052,230.5245,73.8921,309.6539,88.7518,314.4578,71.8065,85.7135,482.5017
35,610.6931,478.6587,236.4855,87.5519,315.1762,105.5483,202.4126,73.9921,80.4674,556.5793
